keyword_id,ad_group_id,campaign_id,customer_id,keyword_text,match_type,status,quality_score,creative_quality_score,landing_page_quality_score,search_predicted_ctr,cpc_bid_micros,first_page_cpc_micros,first_position_cpc_micros,top_of_page_cpc_micros,approval_status,system_serving_status,is_negative,bid_modifier,created_at
6265362093_183978226496_303435809013,183978226496,22837421944,6265362093,whatsapp api,EXACT,ENABLED,5.0,ABOVE_AVERAGE,BELOW_AVERAGE,AVERAGE,,,,,APPROVED,ELIGIBLE,0,,2025-09-15 16:54:26
6265362093_183978226496_921494612,183978226496,22837421944,6265362093,wati,EXACT,PAUSED,3.0,ABOVE_AVERAGE,BELOW_AVERAGE,BELOW_AVERAGE,,,,,APPROVED,ELIGIBLE,0,,2025-09-15 16:54:26
6265362093_183978226496_328750895705,183978226496,22837421944,6265362093,whatsapp business api,EXACT,PAUSED,7.0,ABOVE_AVERAGE,BELOW_AVERAGE,ABOVE_AVERAGE,,,,,APPROVED,ELIGIBLE,0,,2025-09-15 16:54:26
6265362093_183978226496_334216643898,183978226496,22837421944,6265362093,whatsapp broadcast,EXACT,PAUSED,5.0,ABOVE_AVERAGE,BELOW_AVERAGE,AVERAGE,,,,,APPROVED,ELIGIBLE,0,,2025-09-15 16:54:26
6265362093_183978226496_901647027798,183978226496,22837421944,6265362093,sending broadcast on whatsapp,EXACT,ENABLED,,,,,,,,,APPROVED,ELIGIBLE,0,,2025-09-15 16:54:26
6265362093_183978226496_459058364869,183978226496,22837421944,6265362093,whatsapp api chatbot,EXACT,PAUSED,,,,,,,,,APPROVED,ELIGIBLE,0,,2025-09-15 16:54:26
6265362093_183978226496_367799791091,183978226496,22837421944,6265362093,whatsapp api integration,EXACT,PAUSED,7.0,ABOVE_AVERAGE,BELOW_AVERAGE,ABOVE_AVERAGE,,,,,APPROVED,ELIGIBLE,0,,2025-09-15 16:54:26
6265362093_183978226496_446000102824,183978226496,22837421944,6265362093,whatsapp api bot,EXACT,ENABLED,,,,,,,,,APPROVED,ELIGIBLE,0,,2025-09-15 16:54:26
6265362093_183978226496_1023377950051,183978226496,22837421944,6265362093,wati whatsapp,EXACT,PAUSED,5.0,ABOVE_AVERAGE,BELOW_AVERAGE,AVERAGE,,,,,APPROVED,ELIGIBLE,0,,2025-09-15 16:54:26
6265362093_183978226496_1015247205832,183978226496,22837421944,6265362093,whatsapp api for sending messages,EXACT,PAUSED,,,,,,,,,APPROVED,ELIGIBLE,0,,2025-09-15 16:54:26
6265362093_183978226496_332324671903,183978226496,22837421944,6265362093,whatsapp chatbot api,EXACT,PAUSED,,,,,,,,,APPROVED,ELIGIBLE,0,,2025-09-15 16:54:26
