search_term_id,keyword_id,ad_group_id,campaign_id,customer_id,search_term,keyword_text,match_type,search_term_match_type,date,clicks,impressions,cost_micros,conversions,conversion_value,ctr,avg_cpc_micros,created_at
1,6265362093_183978226496_*,183978226496,22837421944,6265362093,wati,wati,EXACT,EXACT,2025-08-20,1,50,69520000,0.0,0.0,0.02,69520000.0,2025-09-15 16:54:28
2,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api,whatsapp api,EXACT,EXACT,2025-08-21,6,36,405177175,0.0,0.0,0.16666666666666666,67529529.16666667,2025-09-15 16:54:28
3,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api,whatsapp api,EXACT,EXACT,2025-08-20,6,35,391740000,0.0,0.0,0.17142857142857143,65290000.0,2025-09-15 16:54:28
4,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api,whatsapp api,EXACT,EXACT,2025-08-19,3,29,242290862,0.0,0.0,0.10344827586206896,80763620.66666667,2025-09-15 16:54:28
5,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business api,whatsapp api,EXACT,NEAR_EXACT,2025-08-21,2,25,132308198,0.0,0.0,0.08,66154099.0,2025-09-15 16:54:28
6,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business api,whatsapp business api,EXACT,EXACT,2025-08-19,4,25,335871623,0.0,0.0,0.16,83967905.75,2025-09-15 16:54:28
7,6265362093_183978226496_*,183978226496,22837421944,6265362093,wati,wati,EXACT,EXACT,2025-08-19,1,24,85580000,0.0,0.0,0.041666666666666664,85580000.0,2025-09-15 16:54:28
8,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business api,whatsapp business api,EXACT,EXACT,2025-08-20,3,20,156960000,0.0,0.0,0.15,52320000.0,2025-09-15 16:54:28
9,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp cloud api,whatsapp api,EXACT,NEAR_EXACT,2025-08-21,2,10,135140000,0.0,0.0,0.2,67570000.0,2025-09-15 16:54:28
10,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp cloud api,whatsapp api,EXACT,NEAR_EXACT,2025-08-19,1,7,87430000,0.0,0.0,0.14285714285714285,87430000.0,2025-09-15 16:54:28
11,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp cloud api,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,0,7,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
12,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp broadcast message,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-19,0,7,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
13,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp ai,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,2,6,119030000,2.0,0.0,0.3333333333333333,59515000.0,2025-09-15 16:54:28
14,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp broadcast,whatsapp broadcast,EXACT,EXACT,2025-08-20,1,6,72410000,0.0,0.0,0.16666666666666666,72410000.0,2025-09-15 16:54:28
15,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to broadcast in whatsapp,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-19,0,5,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
16,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp ai writing assistant,whatsapp api chatbot,EXACT,NEAR_EXACT,2025-08-20,1,5,66630000,0.0,0.0,0.2,66630000.0,2025-09-15 16:54:28
17,6265362093_183978226496_*,183978226496,22837421944,6265362093,broadcast in whatsapp,sending broadcast on whatsapp,EXACT,NEAR_EXACT,2025-08-20,0,5,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
18,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to broadcast in whatsapp,sending broadcast on whatsapp,EXACT,NEAR_EXACT,2025-08-21,1,5,67000000,0.0,0.0,0.2,67000000.0,2025-09-15 16:54:28
19,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp broadcast message,sending broadcast on whatsapp,EXACT,NEAR_EXACT,2025-08-21,0,5,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
20,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp calling api,whatsapp api,EXACT,NEAR_EXACT,2025-08-19,2,4,173620000,0.0,0.0,0.5,86810000.0,2025-09-15 16:54:28
21,6265362093_183978226496_*,183978226496,22837421944,6265362093,api whatsapp,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,0,4,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
22,6265362093_183978226496_*,183978226496,22837421944,6265362093,what is whatsapp api,whatsapp api,EXACT,NEAR_EXACT,2025-08-21,0,4,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
23,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api to send messages,whatsapp api,EXACT,NEAR_EXACT,2025-08-21,1,4,66070000,0.0,0.0,0.25,66070000.0,2025-09-15 16:54:28
24,6265362093_183978226496_*,183978226496,22837421944,6265362093,meta whatsapp business api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,1,4,74040000,0.0,0.0,0.25,74040000.0,2025-09-15 16:54:28
25,6265362093_183978226496_*,183978226496,22837421944,6265362093,broadcast in whatsapp,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-19,0,4,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
